split,condition,num_tasks,tool_selection_accuracy,joint_exact_match_rate,avg_argument_validity,gold_tool_hit_rate,avg_gold_tool_rank
dev,raw_mcp,6,0.8333,0.8333,0.8333,1.0,1.1667
dev,schema_only,6,0.8333,0.8333,0.8333,1.0,1.1667
dev,retrieved_docs,6,0.6667,0.6667,0.6667,1.0,1.6667
dev,retrieved_candidates,6,0.8333,0.6667,0.8333,1.0,1.1667
dev,retrieved_memory,6,0.6667,0.5,0.6667,1.0,1.5
dev,autoskill_base,6,0.8333,0.8333,0.8333,1.0,1.1667
test,raw_mcp,9,0.6667,0.3333,0.5185,0.7778,1.1429
test,schema_only,9,0.6667,0.3333,0.5185,0.7778,1.1429
test,retrieved_docs,9,0.7778,0.3333,0.5926,0.8889,1.25
test,retrieved_candidates,9,1.0,0.5556,0.8333,1.0,1.0
test,retrieved_memory,9,1.0,0.8889,0.9444,1.0,1.0
test,autoskill_base,9,1.0,1.0,1.0,1.0,1.0
